Data No,Time,Measured Counts
1,15,775
2,30,479
3,45,380
4,60,302
5,75,185
6,90,157
7,105,137
8,120,119
9,135,110
10,150,89
11,165,74
12,180,61
13,195,66
14,210,68
15,225,48
16,240,54
17,255,51
18,270,46
19,285,55
20,300,29
21,315,28
22,330,37
23,345,49
24,360,26
25,375,35
26,390,29
27,405,31
28,420,24
29,435,25
30,450,35
31,465,24
32,480,30
33,495,26
34,510,28
35,525,21
36,540,18
37,555,20
38,570,27
39,585,17
40,600,17
41,615,14
42,630,17
43,645,24
44,660,11
45,675,22
46,690,17
47,705,12
48,720,10
49,735,13
50,750,16
51,765,9
52,780,9
53,795,14
54,810,21
55,825,17
56,840,13
57,855,12
58,870,18
59,885,10
